avatar_url,first_name,followers_count,full_name,id,kind,last_modified,last_name,permalink,permalink_url,uri,urn,username,verified,city,country_code,badges,station_urn,station_permalink
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000560333421-g4ls3f-large.jpg,Gobsmacked,7216,Gobsmacked,104790,user,2020-09-11T06:30:42Z,,diarmaidomeara,https://soundcloud.com/diarmaidomeara,https://api.soundcloud.com/users/104790,soundcloud:users:104790,Diarmaid O Meara,False,Berlin,,"{'pro': False, 'pro_unlimited': True, 'verified': False}",soundcloud:system-playlists:artist-stations:104790,artist-stations:104790
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000134018530-bqc6en-large.jpg,Saskia,16306,Saskia Slegers,4756901,user,2021-02-01T21:47:54Z,Slegers,missdjax,https://soundcloud.com/missdjax,https://api.soundcloud.com/users/4756901,soundcloud:users:4756901,Miss Djax,False,Eindhoven,NL,"{'pro': False, 'pro_unlimited': True, 'verified': False}",soundcloud:system-playlists:artist-stations:4756901,artist-stations:4756901
https://i1.sndcdn.com/avatars-z5o2jxLKkKjtEEos-yb4cCw-large.jpg,A,802,A,124044,user,2021-11-11T07:37:33Z,,wetworks,https://soundcloud.com/wetworks,https://api.soundcloud.com/users/124044,soundcloud:users:124044,Wetworks/V.I.T.R.I.O.L.,False,Bronx/Phoenix ,US,"{'pro': False, 'pro_unlimited': True, 'verified': False}",soundcloud:system-playlists:artist-stations:124044,artist-stations:124044
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-ARj9cPD9jkHLtSVy-RxqKnQ-large.jpg,,10197,,5993,user,2021-10-04T16:40:03Z,,noncompliant1,https://soundcloud.com/noncompliant1,https://api.soundcloud.com/users/5993,soundcloud:users:5993,Noncompliant,True,Indianapolis,US,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:5993,artist-stations:5993
