id_playlist,playlist_name,id_artist,playlist_link_full,songs_number
1041,4 To The Floor by Defected,7576,https://www.soundcloud.com/user-474894361/sets/4-to-the-floor-by-defected-1,58
1042,4walls Vedo & Natasha Mosley,7577,https://www.soundcloud.com/user-120893361-523032518/sets/4walls-vedo-natasha-mosley,0
1043,4theWORKcunts,7583,https://www.soundcloud.com/josh-barnett-6/sets/4theworkcunts,499
1044,43by,7589,https://www.soundcloud.com/osama-s-elsonbaty/sets/43by,285
1045,444,7594,https://www.soundcloud.com/nehal-mohammad-545372121/sets/444-1,317
1046,4 mr. poopy butt >:3,7600,https://www.soundcloud.com/iheartmilfslol/sets/poopy-butt-3,495
1047,466,7605,https://www.soundcloud.com/eslam-shoklata/sets/466-1,428
1048,4 To The Floor by Defected,7610,https://www.soundcloud.com/user-474894361/sets/4-to-the-floor-by-defected,58
1049,4am comedown,7616,https://www.soundcloud.com/joseph-pearson-13/sets/4am-comedown-1,327
1050,600,7622,https://www.soundcloud.com/rioo-oo-667724380/sets/600-1,44
1051,"60s/70s Psychedelic Cambodian, Turkish, Iranian, Japanese, Indonesian, Peruvian, Thai and more",7628,https://www.soundcloud.com/underthesungod/sets/60s-70s-psychedelic-cambodian,164
1052,60's-70's ThaiPsychedelic Funk/Groove/Rock Mix,7634,https://www.soundcloud.com/underthesungod/sets/60s-70s-thaipsychedelic-funk,10
1053,60's Soul Classics,7640,https://www.soundcloud.com/user-440582463/sets/60s-soul-classics,242
1054,69,7641,https://www.soundcloud.com/187-str/sets/69-1,11
1055,6,7647,https://www.soundcloud.com/obbieeumann24/sets/6-1a,87
1056,6.11,7653,https://www.soundcloud.com/peter-peter-18/sets/6-11,191
1057,6. The Art of Music - Part 1,7658,https://www.soundcloud.com/angel-a-irizarry-rullan/sets/6-the-art-of-music-part-1,497
1058,65,7664,https://www.soundcloud.com/lakenbby/sets/65-1,493
1059,6,7670,https://www.soundcloud.com/zack-hail-210240352/sets/6a1,500
1060,6 yutes,7676,https://www.soundcloud.com/user-708678070-198616774/sets/6-yutes,26
1061,٦٥٩٢,7682,https://www.soundcloud.com/if0ekypev92a/sets/i0bnwnfsu5yp,411
1062,692,7688,https://www.soundcloud.com/candylover18/sets/692-1,35
1063,6,7694,https://www.soundcloud.com/mirfquake/sets/playlist-by-www-ahmd-world-6,442
